log_Recency,log_Frequency,log_Monetary,log_avg_order_value,log_avg_days_between_orders,log_tenure_days,log_return_rate,log_unique_products,log_unique_months_active,log_last_month_revenue,log_ltv_3m,Customer ID
4.1588830833596715,2.4849066497880004,5.923881395784186,2.5095007110823424,1.9459101490553132,5.560681631015528,0.22314355131420976,3.295836866004329,1.6094379124341003,0.0,0.0,12346
4.653960350157523,1.0986122886681096,7.146394155254587,3.331839701999455,0.33024168687057687,4.820281565605037,0.0918075492531228,3.8712010109078907,1.0986122886681096,0.0,7.246809892681354,12349
4.624972813284271,0.6931471805599453,6.192791845141295,3.143779952314116,0.0,4.624972813284271,0.0,3.1354942159291497,0.6931471805599453,0.0,0.0,12355
4.442651256490317,1.0986122886681096,7.437753920116862,3.9022208350272476,1.8442775035115013,5.583496308781699,0.0,3.5553480614894135,1.0986122886681096,0.0,6.929595045586593,12358
4.248495242049359,1.791759469228055,7.607396328658398,3.194406791933198,1.1992558144477972,5.594711379601839,0.04348511193973883,4.418840607796598,1.3862943611198906,0.0,6.314145693737225,12359
4.584967478670572,1.3862943611198906,6.660626364917416,2.9087693802374934,1.1210851445201684,5.247024072160486,0.021506205220963585,3.8066624897703196,1.3862943611198906,0.0,6.6992416860239254,12360
4.736198448394496,1.0986122886681096,5.339219357868463,2.830267833826459,2.26002547857525,5.37989735354046,0.0,2.4849066497880004,1.0986122886681096,0.0,4.74493212836325,12361
5.60947179518496,0.6931471805599453,4.875197323201151,4.875197323201151,0.0,5.60947179518496,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,12362
5.123963979403259,0.6931471805599453,6.217085028297085,5.122454904814821,0.0,5.123963979403259,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,12366
5.093750200806762,0.6931471805599453,6.822959627277421,3.9509231543857024,0.0,5.093750200806762,0.0,2.9444389791664403,0.6931471805599453,0.0,0.0,12368
5.170483995038151,0.6931471805599453,5.855988407545532,3.6814071614974186,0.0,5.170483995038151,0.0,2.302585092994046,0.6931471805599453,0.0,7.275054583990368,12369
5.0689042022202315,1.3862943611198906,6.653662709523911,3.1412169402959718,0.8303483020734304,5.313205979041787,0.0,3.5263605246161616,1.0986122886681096,0.0,0.0,12370
5.19295685089021,1.0986122886681096,6.411292678051914,2.9377292124425076,0.0,5.19295685089021,0.0,3.4965075614664802,0.6931471805599453,0.0,7.360574600140305,12371
5.0689042022202315,1.0986122886681096,6.638633232051267,3.073756313070659,0.8591323180342065,5.337538079701318,0.0,3.4657359027997265,1.0986122886681096,0.0,0.0,12373
4.812184355372417,0.6931471805599453,7.236728036101784,3.6780852951156966,0.0,4.812184355372417,0.0,3.6109179126442243,0.6931471805599453,0.0,6.755477843536559,12374
